Year;Pollution;TotalA;TotalC;TotalB
0;0;0;0;0
0;0;0;0;0
10;83;0;0;111
20;90;0;0;100
30;93;0;0;115
40;94;0;0;117
50;95;0;0;115
60;95;0;0;114
70;96;0;0;111
80;96;0;0;110
90;96;0;0;114
100;96;0;0;120
110;96;1;0;113
120;96;0;0;101
130;97;0;0;116
140;92;0;1;118
150;91;0;0;116
160;93;0;0;107
170;94;0;0;102
180;95;0;0;116
190;96;0;0;112
200;86;0;2;116
210;72;0;6;108
220;50;0;23;94
230;24;0;64;48
240;0;0;108;0
250;0;0;114;0
260;0;0;119;0
270;0;0;110;0
280;0;0;117;0
290;0;0;111;0
300;0;0;119;0
310;0;0;110;0
320;0;0;106;0
330;0;0;111;1
340;0;0;101;0
350;0;0;114;0
360;0;0;116;0
370;0;0;110;0
380;0;0;117;0
390;0;0;104;0
400;0;0;117;0
410;0;0;102;0
420;0;0;102;0
430;0;0;112;0
440;0;0;112;0
450;0;0;107;0
460;0;0;113;0
470;0;0;116;0
480;0;0;113;0
490;0;0;117;0
500;0;0;108;0
510;0;0;113;0
520;0;0;115;0
530;0;0;116;0
540;0;0;106;0
550;0;0;103;0
560;0;0;109;0
570;0;0;112;0
580;0;0;112;0
590;0;0;113;0
600;0;0;113;0
610;0;0;111;0
620;0;0;112;0
630;0;0;112;0
640;0;0;115;0
650;0;0;114;0
660;0;0;115;0
670;0;0;113;0
680;0;0;114;0
690;0;0;114;0
700;0;0;112;0
710;0;0;113;0
720;0;0;112;0
730;0;0;115;0
740;0;0;106;0
750;0;0;110;0
760;0;0;111;0
770;0;1;110;1
780;0;0;112;0
790;0;0;102;0
800;0;4;111;0
810;0;21;93;1
820;0;102;11;0
830;0;120;0;0
840;0;109;1;0
850;0;105;0;0
860;0;111;0;0
870;0;118;0;0
880;0;110;0;0
890;0;112;0;0
900;0;113;0;0
910;0;111;0;0
920;0;113;0;0
930;0;111;0;0
940;0;102;0;0
950;0;117;0;0
960;0;101;0;0
970;0;108;0;0
980;0;118;0;0
990;0;109;0;0
1000;0;117;0;0
1010;0;112;0;0
1020;0;111;0;0
1030;0;108;0;0
1040;0;111;0;0
1050;0;112;0;0
1060;0;112;0;0
1070;0;119;1;0
1080;0;105;0;0
1090;0;107;0;0
1100;0;106;0;0
1110;0;113;0;0
1120;0;114;0;0
1130;0;109;0;0
1140;0;114;0;0
1150;0;114;0;0
1152;0;115;0;0
